0540	022	-	-	1	t_1	πολλοί	a	-	-	a-p---mn-	Case=n|Gender=m|Number=p	πολύς
0540	022	-	-	2	t_2	μοι	p	-	-	p1s---md-	Case=d|Gender=m|Number=s|Person=1	ἐγώ
0540	022	-	-	3	t_3	προσεληλύθασιν	v	-	-	v3pria---	Mood=i|Number=p|Person=3|Tense=r|Voice=a	προσκυνέω
0540	022	-	-	4	t_4	,	u	-	-	u--------	_	,
0540	022	-	-	5	t_5	ὦ	i	-	-	i--------	_	ὦ
0540	022	-	-	6	t_6	ἄνδρες	n	-	-	n-p---mv-	Case=v|Gender=m|Number=p	ἀνήρ
0540	022	-	-	7	t_7	δικασταί	n	-	-	n-p---mv-	Case=v|Gender=m|Number=p	δικαστής
0540	022	-	-	8	t_8	,	u	-	-	u--------	_	,
0540	022	-	-	9	t_9	θαυμάζοντες	v	-	-	v-pppamn-	Case=n|Gender=m|Mood=p|Number=p|Tense=p|Voice=a	θαυμάζω
0540	022	-	-	10	t_10	ὅτι	c	-	-	c--------	_	ὅτι
0540	022	-	-	11	t_11	ἐγὼ	p	-	-	p1s---mn-	Case=n|Gender=m|Number=s|Person=1	ἐγώ
0540	022	-	-	12	t_12	τῶν	l	-	-	l-p---mg-	Case=g|Gender=m|Number=p	ὁ
0540	022	-	-	13	t_13	σιτοπωλῶν	n	-	-	n-p---mg-	Case=g|Gender=m|Number=p	σιτοπωλέω
0540	022	-	-	14	t_14	ἐν	r	-	-	r--------	_	ἐν
0540	022	-	-	15	t_15	τῇ	l	-	-	l-s---fd-	Case=d|Gender=f|Number=s	ὁ
0540	022	-	-	16	t_16	βουλῇ	n	-	-	n-s---fd-	Case=d|Gender=f|Number=s	βουλή
0540	022	-	-	17	t_17	κατηγόρουν	v	-	-	v1siia---	Mood=i|Number=s|Person=1|Tense=i|Voice=a	κατηγορέω
0540	022	-	-	18	t_18	,	u	-	-	u--------	_	,
0540	022	-	-	19	t_19	καὶ	c	-	-	c--------	_	καί
0540	022	-	-	20	t_20	λέγοντες	v	-	-	v-pppamn-	Case=n|Gender=m|Mood=p|Number=p|Tense=p|Voice=a	λέγω3
0540	022	-	-	21	t_21	ὅτι	c	-	-	c--------	_	ὅτι
0540	022	-	-	22	t_22	ὑμεῖς	p	-	-	p-p---mn-	Case=n|Gender=m|Number=p	σύ
0540	022	-	-	23	t_23	,	u	-	-	u--------	_	,
0540	022	-	-	24	t_24	εἰ	c	-	-	c--------	_	εἰ
0540	022	-	-	25	t_25	ὡς	d	-	-	d--------	_	ὡς
