0540	015	-	-	1	t_1	ἐγὼ	p	-	-	p1s---mn-	Case=n|Gender=m|Number=s|Person=1	ἐγώ
0540	015	-	-	2	t_2	μέν	d	-	-	d--------	_	μέν
0540	015	-	-	3	t_3	,	u	-	-	u--------	_	,
0540	015	-	-	4	t_4	ὦ	i	-	-	i--------	_	ὦ
0540	015	-	-	5	t_5	ἄνδρες	n	-	-	n-p---mv-	Case=v|Gender=m|Number=p	ἀνήρ
0540	015	-	-	6	t_6	δικασταί	n	-	-	n-p---mv-	Case=v|Gender=m|Number=p	δικαστής
0540	015	-	-	7	t_7	,	u	-	-	u--------	_	,
0540	015	-	-	8	t_8	καὶ	d	-	-	d--------	_	καί
0540	015	-	-	9	t_9	ὑμᾶς	p	-	-	p-p---ma-	Case=a|Gender=m|Number=p	σύ
0540	015	-	-	10	t_10	αἰτοῦμαι	v	-	-	v1spie---	Mood=i|Number=s|Person=1|Tense=p|Voice=e	αἰτέω
0540	015	-	-	11	t_11	τὰ	l	-	-	l-p---na-	Case=a|Gender=n|Number=p	ὁ
0540	015	-	-	12	t_12	δίκαια	a	-	-	a-p---na-	Case=a|Gender=n|Number=p	δίκαιος
0540	015	-	-	13	t_13	ψηφίσασθαι	v	-	-	v--anm---	Mood=n|Tense=a|Voice=m	ψηφίζω
0540	015	-	-	14	t_14	,	u	-	-	u--------	_	,
0540	015	-	-	15	t_15	καὶ	c	-	-	c--------	_	καί
0540	015	-	-	16	t_16	τῶν	l	-	-	l-p---mg-	Case=g|Gender=m|Number=p	ὁ
0540	015	-	-	17	t_17	στρατηγῶν	n	-	-	n-p---mg-	Case=g|Gender=m|Number=p	στρατηγός
0540	015	-	-	18	t_18	δέομαι	v	-	-	v1spie---	Mood=i|Number=s|Person=1|Tense=p|Voice=e	δέω
0540	015	-	-	19	t_19	,	u	-	-	u--------	_	,
0540	015	-	-	20	t_20	ἐπεὶ	c	-	-	c--------	_	ἐπεί
0540	015	-	-	21	t_21	καὶ	d	-	-	d--------	_	καί
0540	015	-	-	22	t_22	ἐν	r	-	-	r--------	_	ἐν
0540	015	-	-	23	t_23	τῇ	l	-	-	l-s---fd-	Case=d|Gender=f|Number=s	ὁ
0540	015	-	-	24	t_24	ἄλλῃ	a	-	-	a-s---fd-	Case=d|Gender=f|Number=s	ἄλλῃ
0540	015	-	-	25	t_25	ἀρχῇ	n	-	-	n-s---fd-	Case=d|Gender=f|Number=s	ἀρχή
0540	015	-	-	26	t_26	πολλοῦ	a	-	-	a-s---ng-	Case=g|Gender=n|Number=s	πολύς
0540	015	-	-	27	t_27	ἄξιοι	a	-	-	a-p---mn-	Case=n|Gender=m|Number=p	ἄξιος
0540	015	-	-	28	t_28	τῇ	l	-	-	l-s---fd-	Case=d|Gender=f|Number=s	ὁ
0540	015	-	-	29	t_29	πόλει	n	-	-	n-s---fd-	Case=d|Gender=f|Number=s	πόλις
0540	015	-	-	30	t_30	γεγόνασι	v	-	-	v3pria---	Mood=i|Number=p|Person=3|Tense=r|Voice=a	γίγνομαι
0540	015	-	-	31	t_31	,	u	-	-	u--------	_	,
0540	015	-	-	32	t_32	καὶ	d	-	-	d--------	_	καί
0540	015	-	-	33	t_33	τῶν	l	-	-	l-p---fg-	Case=g|Gender=f|Number=p	ὁ
